COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL_DATE,ID
16198,00212,勾秀荣,M,18,太原街f座,96.cn,21-08-20 06:00:36,2227961
15899,00315,王琴,M,43,巢湖路G座,weigong.cn,21-08-20 06:00:36,2227962
16198,00212,勾秀荣,M,18,太原街f座,96.cn,21-08-20 06:00:36,2227963
15899,00315,王琴,M,43,巢湖路G座,weigong.cn,21-08-20 06:00:36,2227964
16198,00212,勾秀荣,M,18,太原街f座,96.cn,21-08-20 06:00:36,2227965
15899,00315,王琴,M,43,巢湖路G座,weigong.cn,21-08-20 06:00:36,2227966
16198,00212,勾秀荣,M,18,太原街f座,96.cn,21-08-20 06:00:36,2227967
15899,00315,王琴,M,43,巢湖路G座,weigong.cn,21-08-20 06:00:36,2227968
16198,00212,勾秀荣,M,18,太原街f座,96.cn,21-08-20 06:00:36,2227969
15899,00315,王琴,M,43,巢湖路G座,weigong.cn,21-08-20 06:00:36,2227970
16964,00347,万玉,F,24,北镇路Z座,qian.com,21-08-20 06:00:47,2227971
16595,00222,李静,F,18,石家庄路q座,chaoguiying.cn,21-08-20 06:00:47,2227972
16964,00347,万玉,F,24,北镇路Z座,qian.com,21-08-20 06:00:47,2227973
16595,00222,李静,F,18,石家庄路q座,chaoguiying.cn,21-08-20 06:00:47,2227974
16964,00347,万玉,F,24,北镇路Z座,qian.com,21-08-20 06:00:47,2227975
16595,00222,李静,F,18,石家庄路q座,chaoguiying.cn,21-08-20 06:00:47,2227976
16964,00347,万玉,F,24,北镇路Z座,qian.com,21-08-20 06:00:47,2227977
16595,00222,李静,F,18,石家庄路q座,chaoguiying.cn,21-08-20 06:00:47,2227978
16964,00347,万玉,F,24,北镇路Z座,qian.com,21-08-20 06:00:47,2227979
16595,00222,李静,F,18,石家庄路q座,chaoguiying.cn,21-08-20 06:00:47,2227980
16440,00235,赖桂花,M,45,兴城街z座,kd.cn,21-08-20 06:00:59,2227981
15654,00261,赵玉梅,M,22,吴路Y座,34.cn,21-08-20 06:00:59,2227982
16440,00235,赖桂花,M,45,兴城街z座,kd.cn,21-08-20 06:00:59,2227983
15654,00261,赵玉梅,M,22,吴路Y座,34.cn,21-08-20 06:00:59,2227984
16440,00235,赖桂花,M,45,兴城街z座,kd.cn,21-08-20 06:00:59,2227985
15654,00261,赵玉梅,M,22,吴路Y座,34.cn,21-08-20 06:00:59,2227986
16440,00235,赖桂花,M,45,兴城街z座,kd.cn,21-08-20 06:00:59,2227987
15654,00261,赵玉梅,M,22,吴路Y座,34.cn,21-08-20 06:00:59,2227988
16440,00235,赖桂花,M,45,兴城街z座,kd.cn,21-08-20 06:00:59,2227989
15654,00261,赵玉梅,M,22,吴路Y座,34.cn,21-08-20 06:00:59,2227990
15586,00217,陈丽娟,F,25,季街O座,weifang.cn,21-08-20 06:01:10,2227991
15618,00278,鲁刚,M,44,何街Q座,81.net,21-08-20 06:01:10,2227992
15586,00217,陈丽娟,F,25,季街O座,weifang.cn,21-08-20 06:01:10,2227993
15618,00278,鲁刚,M,44,何街Q座,81.net,21-08-20 06:01:10,2227994
